,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
5,Albania,Wheat,1990,30197,1485.0,121.0,16.37
11,Albania,Wheat,1991,20698,1485.0,121.0,15.36
17,Albania,Wheat,1992,24388,1485.0,121.0,16.06
22,Albania,Wheat,1993,29976,1485.0,121.0,16.05
26,Albania,Wheat,1994,24745,1485.0,201.0,16.96
30,Albania,Wheat,1995,28703,1485.0,251.0,15.67
34,Albania,Wheat,1996,21741,1485.0,313.96,15.64
38,Albania,Wheat,1997,28516,1485.0,376.93,15.9
42,Albania,Wheat,1998,28037,1485.0,439.89,16.27
46,Albania,Wheat,1999,24954,1485.0,502.86,16.57
50,Albania,Wheat,2000,30455,1485.0,565.82,16.67
54,Albania,Wheat,2001,28220,1485.0,628.79,16.59
58,Albania,Wheat,2002,31617,1485.0,691.75,16.47
62,Albania,Wheat,2004,31130,1485.0,817.68,16.16
66,Albania,Wheat,2005,31582,1485.0,880.64,15.67
70,Albania,Wheat,2006,30787,1485.0,943.61,15.92
74,Albania,Wheat,2007,35496,1485.0,1006.57,16.67
78,Albania,Wheat,2008,40168,1485.0,1069.54,16.71
82,Albania,Wheat,2009,40229,1485.0,1132.5,16.73
86,Albania,Wheat,2010,39905,1485.0,1311.17,16.52
90,Albania,Wheat,2011,42301,1485.0,1302.63,16.45
94,Albania,Wheat,2012,41096,1485.0,766.25,16.7
98,Albania,Wheat,2013,41292,1485.0,982.32,17.41
103,Algeria,Wheat,1990,6315,89.0,1828.92,17.48
108,Algeria,Wheat,1991,10809,89.0,2461.8,16.26
113,Algeria,Wheat,1992,9939,89.0,1215.47,16.27
118,Algeria,Wheat,1993,8097,89.0,1021.89,17.0
122,Algeria,Wheat,1994,7999,89.0,1255.02,17.88
127,Algeria,Wheat,1995,8924,89.0,2697.09,17.36
132,Algeria,Wheat,1996,13090,89.0,479.77,16.76
137,Algeria,Wheat,1997,8016,89.0,401.22,17.84
142,Algeria,Wheat,1998,8847,89.0,322.84,17.14
147,Algeria,Wheat,1999,10711,89.0,654.45,17.97
152,Algeria,Wheat,2000,9194,89.0,603.67,17.9
157,Algeria,Wheat,2001,11104,89.0,710.11,18.13
162,Algeria,Wheat,2002,10739,89.0,816.55,17.85
167,Algeria,Wheat,2004,13582,89.0,3747.86,17.38
